DEPLAC      ;EFFORT      ;
0;0;
0.00002;50622;
0.00004;101240;
0.00006;151860;
0.00008;202490;
0.0001;252800;
0.00012;260000;
0.00014;249820;
0.00016;233560;
0.00018;217280;
0.0002;200220;
0.00022;183210;
0.00024;166800;
0.00026;151340;
0.00028;137040;
0.0003;123990;
0.00032;112210;
0.00034;101682;
0.00036;92336;
0.00038;84095;
0.0004;76868;
